140929	101101013	kelan	岢岚	xinzhou	忻州	shanxi	山西
140930	101101004	hequ	河曲	xinzhou	忻州	shanxi	山西
140931	101101011	bode	保德	xinzhou	忻州	shanxi	山西
140932	101101005	pianguan	偏关	xinzhou	忻州	shanxi	山西
140971	101101010	wutaishan	五台山	xinzhou	忻州	shanxi	山西
140981	101101015	yuanping	原平	xinzhou	忻州	shanxi	山西
141000	101100701	linfen	临汾	linfen	临汾	shanxi	山西
141002	101100718	yaodou	尧都	linfen	临汾	shanxi	山西
141021	101100702	quwo	曲沃	linfen	临汾	shanxi	山西
141022	101100713	yicheng	翼城	linfen	临汾	shanxi	山西
141023	101100707	xiangfen	襄汾	linfen	临汾	shanxi	山西
141024	101100710	hongtong	洪洞	linfen	临汾	shanxi	山西
141025	101100717	guxian	古县	linfen	临汾	shanxi	山西
141026	101100716	anze	安泽	linfen	临汾	shanxi	山西
141027	101100715	fushan	浮山	linfen	临汾	shanxi	山西
141028	101100706	jixian	吉县	linfen	临汾	shanxi	山西
141029	101100712	xiangning	乡宁	linfen	临汾	shanxi	山西
141030	101100705	daning	大宁	linfen	临汾	shanxi	山西
141031	101100704	xixian	隰县	linfen	临汾	shanxi	山西
141032	101100703	yonghe	永和	linfen	临汾	shanxi	山西
141033	101100708	puxian	蒲县	linfen	临汾	shanxi	山西
141034	101100709	fenxi	汾西	linfen	临汾	shanxi	山西
141081	101100714	houma	侯马	linfen	临汾	shanxi	山西
141082	101100711	huozhou	霍州	linfen	临汾	shanxi	山西
141100	101101100	lvliang	吕梁	lvliang	吕梁	shanxi	山西
141102	101101101	lishi	离石	lvliang	吕梁	shanxi	山西
141121	101101112	wenshui	文水	lvliang	吕梁	shanxi	山西
141122	101101113	jiaocheng	交城	lvliang	吕梁	shanxi	山西
141123	101101103	xingxian	兴县	lvliang	吕梁	shanxi	山西
141124	101101102	linxian	临县	lvliang	吕梁	shanxi	山西
141125	101101105	liulin	柳林	lvliang	吕梁	shanxi	山西
141126	101101106	shilou	石楼	lvliang	吕梁	shanxi	山西
141127	101101104	lanxian	岚县	lvliang	吕梁	shanxi	山西
141128	101101107	fangshan	方山	lvliang	吕梁	shanxi	山西
141129	101101109	zhongyang	中阳	lvliang	吕梁	shanxi	山西
141130	101101108	jiaokou	交口	lvliang	吕梁	shanxi	山西
141181	101101110	xiaoyi	孝义	lvliang	吕梁	shanxi	山西
141182	101101111	fenyang	汾阳	lvliang	吕梁	shanxi	山西
150100	101080101	huhehaote	呼和浩特	huhehaote	呼和浩特	neimenggu	内蒙古
150102	101080108	xincheng	新城	huhehaote	呼和浩特	namenggu	内蒙古
150103	101080109	huimin	回民	huhehaote	呼和浩特	namenggu	内蒙古
150104	101080110	yuquan	玉泉	huhehaote	呼和浩特	namenggu	内蒙古
150105	101080106	saihan	赛罕	huhehaote	呼和浩特	neimenggu	内蒙古
150121	101080102	tuzuoqi	土左旗	huhehaote	呼和浩特	neimenggu	内蒙古
150122	101080103	tuoxian	托县	huhehaote	呼和浩特	neimenggu	内蒙古
150123	101080104	helin	和林	huhehaote	呼和浩特	neimenggu	内蒙古
150124	101080105	qingshuihe	清水河	huhehaote	呼和浩特	neimenggu	内蒙古
150125	101080107	wuchuan	武川	huhehaote	呼和浩特	neimenggu	内蒙古
150200	101080201	baotou	包头	baotou	包头	neimenggu	内蒙古
150202	101080208	donghe	东河	baotou	包头	namenggu	内蒙古
150203	101080209	kundoulun	昆都仑	baotou	包头	namenggu	内蒙古
150204	101080210	qingshan	青山	baotou	包头	namenggu	内蒙古
150205	101080211	shiguai	石拐	baotou	包头	namenggu	内蒙古
150206	101080202	baiyunebo	白云鄂博	baotou	包头	neimenggu	内蒙古
150207	101080212	jiuyuan	九原	baotou	包头	namenggu	内蒙古
150221	101080204	tuyouqi	土右旗	baotou	包头	neimenggu	内蒙古
150222	101080205	guyang	固阳	baotou	包头	neimenggu	内蒙古
150223	101080206	damaoqi	达茂旗	baotou	包头	neimenggu	内蒙古
150223102	101080203	mandula	满都拉	baotou	包头	neimenggu	内蒙古
150223103	101080207	xilamuren	希拉穆仁	wulanchabu	包头	neimenggu	内蒙古
150300	101080301	wuhai	乌海	wuhai	乌海	neimenggu	内蒙古
150302	101080302	haibowan	海勃湾	wuhai	乌海	namenggu	内蒙古
150303	101080303	hainan	海南	wuhai	乌海	namenggu	内蒙古
150304	101080304	wuda	乌达	wuhai	乌海	namenggu	内蒙古
150400	101080601	chifeng	赤峰	chifeng	赤峰	neimenggu	内蒙古
150402	101080602	hongshan	红山	chifeng	赤峰	namenggu	内蒙古
150403	101080616	yuanbaoshan	元宝山	chifeng	赤峰	namenggu	内蒙古
150404	101080617	songshan	松山	chifeng	赤峰	namenggu	内蒙古
15040420	101080610	gangzi	岗子	chifeng	赤峰	neimenggu	内蒙古
150421	101080603	aluqi	阿鲁旗	chifeng	赤峰	neimenggu	内蒙古
150422	101080605	balinzuoqi	巴林左旗	chifeng	赤峰	neimenggu	内蒙古
150423	101080606	balinyouqi	巴林右旗	chifeng	赤峰	neimenggu	内蒙古
150424	101080607	linxi	林西	chifeng	赤峰	neimenggu	内蒙古
150425	101080608	keshiketeng	克什克腾	chifeng	赤峰	neimenggu	内蒙古
150426	101080609	wengniute	翁牛特	chifeng	赤峰	neimenggu	内蒙古
150428	101080611	kalaqin	喀喇沁	chifeng	赤峰	neimenggu	内蒙古
150429	101080613	ningcheng	宁城	chifeng	赤峰	neimenggu	内蒙古
